SMILES SOLUTE,SMILES Solvent 1,SMILES Solvent 2,Mole Fraction Solvent 1,Mole Fraction  Solvent 2,Density (g/mL),T (K),log(S),log(Xs),Reference (DOI),Comments,MW,pph(g/100g),DeltaGsolv
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CO,O,0.05881585,0.94118415,0.964880994,313.15,-4.121347435,-5.830619505,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CO,O,0.05881585,0.94118415,0.962580047,318.15,-4.106790178,-5.815024809,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CO,O,0.05881585,0.94118415,0.960120914,323.15,-4.092026367,-5.799149502,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,O,0.0,1.0,1.000135548,278.15,-4.744618477,-6.488919154,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,O,0.0,1.0,0.999563508,283.15,-4.727416872,-6.471468939,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,O,0.0,1.0,0.998809617,288.15,-4.710350425,-6.454074671,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,O,0.0,1.0,0.997873877,293.15,-4.693083241,-6.436400271,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,O,0.0,1.0,0.996756286,298.15,-4.676586916,-6.419417123,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,O,0.0,1.0,0.995456846,303.15,-4.660260707,-6.40252421,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,O,0.0,1.0,0.993975555,308.15,-4.644224683,-6.38584129,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,O,0.0,1.0,0.992312415,313.15,-4.629293634,-6.370182804,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,O,0.0,1.0,0.990467424,318.15,-4.612829811,-6.352910571,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,,O,0.0,1.0,0.988440584,323.15,-4.595791238,-6.334982175,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,1.0,0.0,0.81428,278.15,-3.200974641,-4.448184178,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,1.0,0.0,0.81028,283.15,-3.13388198,-4.378927629,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,1.0,0.0,0.80628,288.15,-3.069424697,-4.31229272,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,1.0,0.0,0.80228,293.15,-3.007813435,-4.24848995,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,1.0,0.0,0.79828,298.15,-2.950087464,-4.188559056,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,1.0,0.0,0.79428,303.15,-2.9008372,-4.137093786,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,1.0,0.0,0.79028,308.15,-2.851154997,-4.08518102,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,1.0,0.0,0.78628,313.15,-2.802265912,-4.034046111,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,1.0,0.0,0.78228,318.15,-2.758906293,-3.988429556,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,1.0,0.0,0.77828,323.15,-2.706433674,-3.933674075,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.77877551,0.22122449,0.829698314,278.15,-3.239162496,-4.557363474,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.77877551,0.22122449,0.825920133,283.15,-3.175676997,-4.491874464,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.77877551,0.22122449,0.822127249,288.15,-3.117857175,-4.432033093,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.77877551,0.22122449,0.81831994,293.15,-3.065131558,-4.377268035,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.77877551,0.22122449,0.814498471,298.15,-3.010950468,-4.321026624,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.77877551,0.22122449,0.810663095,303.15,-2.964703119,-4.272702797,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.77877551,0.22122449,0.806814052,308.15,-2.916743823,-4.222645687,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.77877551,0.22122449,0.802951569,313.15,-2.874960961,-4.178748568,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.77877551,0.22122449,0.799075862,318.15,-2.83466625,-4.136320332,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.77877551,0.22122449,0.795187136,323.15,-2.792606808,-4.092105165,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.610071942,0.389928058,0.845711785,278.15,-3.294935595,-4.676335464,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.610071942,0.389928058,0.842175925,283.15,-3.246418867,-4.62598526,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.610071942,0.389928058,0.838609935,288.15,-3.195944134,-4.573651426,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.610071942,0.389928058,0.835014335,293.15,-3.143596067,-4.519418213,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.610071942,0.389928058,0.831389623,298.15,-3.096527909,-4.470441327,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.610071942,0.389928058,0.827736271,303.15,-3.053062459,-4.425043224,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.610071942,0.389928058,0.824054731,308.15,-3.012765699,-4.382789905,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.610071942,0.389928058,0.820345431,313.15,-2.973373612,-4.341416285,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.610071942,0.389928058,0.816608777,318.15,-2.937955357,-4.303993285,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.610071942,0.389928058,0.812845156,323.15,-2.895003475,-4.259006068,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.477170418,0.522829582,0.862355553,278.15,-3.342871258,-4.781464495,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.477170418,0.522829582,0.859084459,283.15,-3.30085408,-4.737786295,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.477170418,0.522829582,0.85576706,288.15,-3.256836582,-4.692076296,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.477170418,0.522829582,0.852404075,293.15,-3.212567748,-4.646083769,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.477170418,0.522829582,0.848996192,298.15,-3.174661534,-4.606424797,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.477170418,0.522829582,0.845544067,303.15,-3.134017965,-4.563996464,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.477170418,0.522829582,0.842048326,308.15,-3.098348547,-4.52651303,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.477170418,0.522829582,0.838509564,313.15,-3.062332286,-4.488651485,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.477170418,0.522829582,0.834928349,318.15,-3.029506976,-4.453951134,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.477170418,0.522829582,0.831305218,323.15,-2.991553146,-4.41408829,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.369767442,0.630232558,0.879667577,278.15,-3.374471834,-4.865504144,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.369767442,0.630232558,0.876685855,283.15,-3.334360126,-4.823908741,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.369767442,0.630232558,0.873640883,288.15,-3.302187466,-4.790216985,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.369767442,0.630232558,0.870533526,293.15,-3.267275058,-4.753747688,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.369767442,0.630232558,0.867364614,298.15,-3.230465728,-4.715343717,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.369767442,0.630232558,0.864134938,303.15,-3.197646658,-4.680893941,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.369767442,0.630232558,0.860845258,308.15,-3.166044733,-4.647624505,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.369767442,0.630232558,0.857496294,313.15,-3.135233906,-4.615109203,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.369767442,0.630232558,0.854088736,318.15,-3.107226249,-4.585360853,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.369767442,0.630232558,0.850623236,323.15,-3.074321415,-4.550675907,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.281167109,0.718832891,0.897688928,278.15,-3.39628789,-4.935916564,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.281167109,0.718832891,0.895023593,283.15,-3.367896906,-4.906228219,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.281167109,0.718832891,0.89227727,288.15,-3.335905757,-4.872895202,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.281167109,0.718832891,0.889450912,293.15,-3.305129575,-4.840733669,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.281167109,0.718832891,0.88654543,298.15,-3.277458257,-4.811634074,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.281167109,0.718832891,0.883561698,303.15,-3.251658021,-4.784362437,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.281167109,0.718832891,0.880500553,308.15,-3.224533873,-4.755722879,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.281167109,0.718832891,0.877362794,313.15,-3.199457862,-4.729088361,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.281167109,0.718832891,0.874149183,318.15,-3.177063972,-4.705093089,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.281167109,0.718832891,0.870860446,323.15,-3.149541277,-4.67592342,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.206829268,0.793170732,0.916464113,278.15,-3.432433517,-5.017502631,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.206829268,0.793170732,0.914144864,283.15,-3.407010379,-4.990974258,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.206829268,0.793170732,0.911726086,288.15,-3.382162475,-4.964970718,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.206829268,0.793170732,0.909208741,293.15,-3.358077658,-4.939679971,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.206829268,0.793170732,0.906593756,298.15,-3.33543503,-4.915781313,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.206829268,0.793170732,0.903882019,303.15,-3.316130966,-4.895171596,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.206829268,0.793170732,0.901074383,308.15,-3.296509008,-4.874193542,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.206829268,0.793170732,0.898171663,313.15,-3.277593797,-4.853871964,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.206829268,0.793170732,0.895174638,318.15,-3.259637407,-4.834458923,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.206829268,0.793170732,0.892084051,323.15,-3.237196742,-4.810509686,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.143566591,0.856433409,0.936041442,278.15,-3.521960001,-5.149844078,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.143566591,0.856433409,0.934100985,283.15,-3.502674686,-5.129654629,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.143566591,0.856433409,0.932041638,288.15,-3.483896,-5.109914473,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.143566591,0.856433409,0.929864293,293.15,-3.465337351,-5.090337015,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.143566591,0.856433409,0.927569806,298.15,-3.448090354,-5.072014053,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.143566591,0.856433409,0.925159003,303.15,-3.433170977,-5.05596172,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.143566591,0.856433409,0.922632674,308.15,-3.417928931,-5.039529222,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.143566591,0.856433409,0.91999158,313.15,-3.403343473,-5.023695883,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.143566591,0.856433409,0.917236448,318.15,-3.38901856,-5.00806545,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.143566591,0.856433409,0.914367972,323.15,-3.37116985,-4.988852639,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.08907563,0.91092437,0.956473443,278.15,-3.720213445,-5.388701638,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.08907563,0.91092437,0.954947849,283.15,-3.705353024,-5.373146585,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.08907563,0.91092437,0.953283188,288.15,-3.690698949,-5.357733381,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.08907563,0.91092437,0.951480175,293.15,-3.675968775,-5.342179544,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.08907563,0.91092437,0.949539502,298.15,-3.662302385,-5.327625021,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.08907563,0.91092437,0.947461836,303.15,-3.650067399,-5.314437389,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.08907563,0.91092437,0.945247819,308.15,-3.637677446,-5.301029996,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.08907563,0.91092437,0.942898067,313.15,-3.626006868,-5.288277108,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.08907563,0.91092437,0.940413174,318.15,-3.613864548,-5.274987275,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.08907563,0.91092437,0.937793703,323.15,-3.599175411,-5.259084924,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.041650295,0.958349705,0.977817331,278.15,-4.098834964,-5.806041022,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.041650295,0.958349705,0.976746457,283.15,-4.085097813,-5.791827473,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.041650295,0.958349705,0.975515522,288.15,-4.071362195,-5.777543663,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.041650295,0.958349705,0.974124952,293.15,-4.057649499,-5.763210901,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.041650295,0.958349705,0.972575159,298.15,-4.044710633,-5.749579998,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.041650295,0.958349705,0.970866542,303.15,-4.032495473,-5.736600669,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.041650295,0.958349705,0.968999485,308.15,-4.02026954,-5.723538196,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.041650295,0.958349705,0.966974359,313.15,-4.008720868,-5.711080394,10.1021/acs.jced.0c00633,,,,
CN1C(=C(C(=N1)Cl)C(=O)OC)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC,CCO,O,0.041650295,0.958349705,0.96479152,318.15,-3.996291625,-5.697669071,10.1021/acs.jced.0c00633,,,,
